#sample-id	Plate_position	Sample_type	Plant_species	DNA_concentration_nanodrop	MeJA_treatment	Baseclear_order	Block	position	id_before	RNA_extract_ID_questionable	MYC2_at_fold_DD	lox2_at_fold_DD	bbch	bbch1	bbch2	width	length	leaf_area	number_fruits	leaf_dry_weight	inflorescence	ratio_inflorescence	ratio_leaf	ratio_good	Baseclear_DNA_concentration_ngul
1_Soil	A01	Soil	Brassica_oleraceae	8.22	MeJA_1.0	1	1	1	4	BO13	0.535268008	2.138599997	14_15	14	4.5	3.76	4.96	45.36		0.204			0.474418605	0.474418605	17.95
2_Soil	A02	Soil	Arabidopsis_thaliana	5.92	MeJA_1.0	2	1	2	2	AT13	7.009512077	5.656854249							6	0.044	0.044	0.352	0.74829932	0.352	5.14
3_Soil	A03	Soil	Brassica_oleraceae	6.34	MeJA_0.1	3	1	3	2	BO7	0.45638818	1.51221856	15_16	15	5.5	3.94	5.07	75.45		0.368			0.855813953	0.855813953	5.8
4_Soil	A04	Soil	Arabidopsis_thaliana	38.15	control	4	1	4	4	AT1	1.59031662	2.042024251							18	0.048	0.07	1	1	1	3.24
5_Soil	A05	Soil	Brassica_oleraceae	22.16	control	5	1	5	1	BO1	1.889930698	1.914100614	16_17	16	6.5	4.23	5.43	82.47		0.34			1	1	3.45
6_Soil	A06	Soil	Brassica_oleraceae	28.03	oral_secretion	6	1	6	2	BO19	0.726146896	1.334839854	16_16	16	6	4.06	5.35	89.58		0.402			0.934883721	0.934883721	19.57
7_Soil	A07	Soil	Arabidopsis_thaliana	8.93	MeJA_0.1	7	1	7	3	AT7	1.692685591	2.203810232							27	0.062	0.1	0.8	1.054421769	0.8	19.57
8_Soil	A08	Soil	Arabidopsis_thaliana	6.53	oral_secretion	8	1	8	1	AT19	3.48054692	2.143546925							33	0.034	0.053	0.424	0.578231293	0.424	3.86
9_Soil	A09	Soil	Arabidopsis_thaliana	26.9	oral_secretion	9	2	1	5	AT20	5.772971182	4.0278222							29	0.069	0.129	1.032	1.173469388	1.032	3.55
10_Soil	A10	Soil	Brassica_oleraceae	12.73	control	10	2	2	6	BO2	0.816957727	0.695762422	16_17	16	6.5	3.93	4.71	70.69		0.341			1	1	5.91
11_Soil	A11	Soil	Arabidopsis_thaliana	20.89	MeJA_1.0	11	2	3	8										3	0.046	0.051	0.408	0.782312925	0.408	21.9
12_Soil	A12	Soil	Brassica_oleraceae	11.7	MeJA_0.1	12	2	4	8	BO8	1.264295179	1.122462048	15_16	15	5.5	4.69	5.16	87.4		0.492			1.144186047	1.144186047	8.45
13_Soil	B10	Soil	Brassica_oleraceae	18.21	MeJA_1.0	22	3	6	9	BO15	0.772889104	3.621699045	14_15	14	4.5	3.99	5.12	75.85		0.438			1.018604651	1.018604651	20.54
14_Soil	B02	Soil	Arabidopsis_thaliana	8.17	MeJA_0.1	14	2	6	6										36	0.068	0.107	0.856	1.156462585	0.856	8.69
15_Soil	B03	Soil	Arabidopsis_thaliana	45.32	control	15	2	7	7	AT2	2.5375388	2.188587403							28	0.037	0.069	1	1	1	2.9
16_Soil	B04	Soil	Brassica_oleraceae	18.57	oral_secretion	16	2	8	7	BO20	1.336382813	1.334839854	14	14	4	3.87	5.1	64.42		0.345			0.802325581	0.802325581	14.15
17_Soil	B05	Soil	Arabidopsis_thaliana	11.12	MeJA_0.1	17	3	1	9	AT9	7.307176341	8.5741877							7	0.049	0.076	0.608	0.833333333	0.608	3.49
18_Soil	B06	Soil	Brassica_oleraceae	13.36	MeJA_0.1	18	3	2	10	BO9	1.264295179	2.009263349	16	16	6	4.37	5.51	89.74		0.552			1.28372093	1.28372093	10.13
19_Soil	B07	Soil	Arabidopsis_thaliana	11	oral_secretion	19	3	3	11	AT21	4.498094665	1.624504793							16	0.069	0.1	0.8	1.173469388	0.8	2.56
20_Soil	B08	Soil	Arabidopsis_thaliana	3.58	MeJA_1.0	20	3	4	12	AT15	10.12123913	6.498019171							9	0.031	0.044	0.352	0.527210884	0.352	2.07
21_Soil	B09	Soil	Arabidopsis_thaliana	15.77	control	21	3	5	10	AT3	1.752378019	1.414213562							18	0.02	0.048	1	1	1	2.45
22_Soil	B01	Soil	Brassica_oleraceae	17.73	MeJA_1.0	13	2	5	5	BO14	1.903076206	6.175973947	14_15	14	4.5	4.26	5.64	59.44		0.311			0.723255814	0.723255814	15.86
23_Soil	B11	Soil	Brassica_oleraceae	10.6	control	23	3	7	11	BO3	5.022248217	3.066656689	15_16	15	5.5	4.1	5.3	87.94		0.537			1	1	4.96
24_Soil	B12	Soil	Brassica_oleraceae	12.41	oral_secretion	24	3	8	12	BO21	0.554144194	1.533328345	15_16	15	5.5	3.64	4.74	69.68		0.344			0.8	0.8	1.52
