id,id_before,Block,position,species,treatment,bbch,bbch1,bbch2,width,length,leaf_area,number_fruits,ldry_weight,inflorescence,ratio_inflorescence,ratio_leaf,ratio_good,
5,1,1,5,Brassica_oleraceae,control,16_17,16,6.5,4.23,5.43,82.47,,0.34,,,1,1,
10,6,2,2,Brassica_oleraceae,control,16_17,16,6.5,3.93,4.71,70.69,,0.341,,,1,1,
23,11,3,7,Brassica_oleraceae,control,15_16,15,5.5,4.1,5.3,87.94,,0.537,,,1,1,
31,15,4,7,Brassica_oleraceae,control,16_17,16,6.5,,,63.81,,0.321,,,1,1,
35,19,5,3,Brassica_oleraceae,control,15_16,15,5.5,4.24,4.96,74.48,,0.489,,,1,1,
42,21,6,2,Brassica_oleraceae,control,15_16,15,5.5,4.3,5.54,90.96,,0.551,,,1,1,
3,2,1,3,Brassica_oleraceae,MeJA_0.1,15_16,15,5.5,3.94,5.07,75.45,,0.368,,,0.855813953,0.855813953,
12,8,2,4,Brassica_oleraceae,MeJA_0.1,15_16,15,5.5,4.69,5.16,87.4,,0.492,,,1.144186047,1.144186047,
18,10,3,2,Brassica_oleraceae,MeJA_0.1,16,16,6,4.37,5.51,89.74,,0.552,,,1.28372093,1.28372093,
26,14,4,2,Brassica_oleraceae,MeJA_0.1,16,16,6,4.67,5.66,79.17,,0.487,,,1.13255814,1.13255814,
36,20,5,4,Brassica_oleraceae,MeJA_0.1,15_16,15,5.5,3.88,5.66,72.28,,0.476,,,1.106976744,1.106976744,
44,24,6,4,Brassica_oleraceae,MeJA_0.1,15_16,15,5.5,4.82,5.33,69.49,,0.458,,,1.065116279,1.065116279,
1,4,1,1,Brassica_oleraceae,MeJA_1.0,14_15,14,4.5,3.76,4.96,45.36,,0.204,,,0.474418605,0.474418605,
13,,2,5,Brassica_oleraceae,MeJA_1.0,14_15,14,4.5,4.26,5.64,59.44,,0.311,,,0.723255814,0.723255814,
22,9,3,6,Brassica_oleraceae,MeJA_1.0,14_15,14,4.5,3.99,5.12,75.85,,0.438,,,1.018604651,1.018604651,
25,13,4,1,Brassica_oleraceae,MeJA_1.0,13_14,13,3.5,3.68,4.54,42.87,,0.255,,,0.593023256,0.593023256,
