id,id_before,position,Block,species,treatment,RNA_extract_ID_checked,RNA_extract_ng.ul,X260.230nm,X260.280nm,cDNA_ul_RNA_for_1000ng,cDNA_water_completion,Per4_Cq,MYC2_Cq,Act2_Cq,LOX2_Cq,PER4_techDiff,MYC2_techDiff,Act2_techDiff,LOX2_techDiff,PER4_mean,MYC2_mean,Act2_mean,LOX2_mean,MYC2.PER4,Lox2.Act2,MYC2_real_exp,Lox2_Real_exp,Both_Ref_Mean,MYC2.bothRef,Lox2.bothRef,MYC2_bothRef_real_exp,Lox2_BothRef_real_exp,MYC2.ACT2_ref_only,LOX2.ACT2_ref_only,MYC2.ACT2_ref_only_real_exp,LOX2.ACT2_ref_only_real_exp,MYC2_at_fold_DD,lox2_at_fold_DD
4,4,4,1,Arabidopsis_thaliana,control,AT1,287,2.035,2.166,3.48,11.52,28.35,25.4,20.16,19.66,0.12,0.1,0.62,0.3,28.29,25.35,19.85,19.51,-2.94,-0.34,7.68,1.27,23.7,1.65,-4.19,0.32,18.27,5.5,-0.34,0.022134121,1.269669783,1.59031662,2.042024251
7,3,7,1,Arabidopsis_thaliana,MeJA_0.1,AT7,323,2.14,2.143,3.1,11.9,27.96,25.63,20.58,19.98,0.67,0.57,0.14,0.14,27.62,25.92,20.51,20.05,-1.7,-0.45,3.25,1.37,23.8,2.12,-3.74,0.23,13.4,5.41,-0.45,0.023456072,1.367186229,1.692685591,2.203810232
2,2,2,1,Arabidopsis_thaliana,MeJA_1.0,AT13,395,1.702,2.048,2.53,12.47,27.25,23.39,20.09,18.24,0.23,0.03,0.08,0,27.13,23.41,20.05,18.24,-3.72,-1.81,13.18,3.5,23.32,0.09,-5.08,0.94,33.82,3.36,-1.81,0.097238304,3.496779496,7.009512077,5.656854249
8,1,8,1,Arabidopsis_thaliana,oral_secretion,AT19,288.5,2.124,2.124,3.47,11.53,28.32,24.19,19.84,19.32,0.27,0.04,0.08,0.14,28.45,24.17,19.8,19.39,-4.28,-0.41,19.41,1.33,23.74,0.44,-4.34,0.74,20.31,4.37,-0.41,0.048349297,1.329230786,3.48054692,2.143546925
5,1,5,1,Brassica_oleraceae,control,BO1,342,2.036,2.11,2.92,12.08,23.99,25.05,20.19,20.38,0.04,0.06,0.1,0.33,24.01,25.08,20.15,20.54,1.07,0.4,0.48,0.76,21.99,3.09,-1.45,0.12,2.73,4.93,0.4,0.032739673,0.758443441,1.889930698,1.914100614
3,2,3,1,Brassica_oleraceae,MeJA_0.1,BO7,286,1.484,2.111,3.5,11.5,22.38,25.43,18.33,19.15,0,0.06,0.19,0.03,22.38,25.4,18.43,19.16,3.02,0.74,0.12,0.6,20.31,5.1,-1.14,0.03,2.21,6.98,0.74,0.007948885,0.599481278,0.45638818,1.51221856
1,4,1,1,Brassica_oleraceae,MeJA_1.0,BO13,241,1.596,2.093,4.15,10.85,22.21,25.26,18.35,18.75,0.67,0.46,0.15,0.45,21.87,25.03,18.28,18.52,3.16,0.24,0.11,0.84,19.99,5.04,-1.47,0.03,2.77,6.75,0.24,0.009269898,0.844016669,0.535268008,2.138599997
6,2,6,1,Brassica_oleraceae,oral_secretion,BO19,523,2.063,2.196,1.91,13.09,23.99,26.3,19.84,20.9,0.01,0.09,0.22,0.06,24,26.26,19.95,20.87,2.26,0.92,0.21,0.53,21.88,4.38,-1.01,0.05,2.01,6.31,0.92,0.012634851,0.528788567,0.726146896,1.334839854
15,7,7,2,Arabidopsis_thaliana,control,AT2,85.16,1.664,1.891,11.74,3.26,30.64,27.26,22.47,22.06,0.05,0.19,0.13,0.07,30.61,27.36,22.53,22.1,-3.26,-0.44,9.56,1.35,26.26,1.09,-4.17,0.47,17.97,4.825884142,-0.44,0.035258523,1.351941703,2.5375388,2.188587403
9,5,1,2,Arabidopsis_thaliana,oral_secretion,AT20,146.2,2.136,2.064,6.84,8.16,26.56,22.35,18.72,17.38,0.02,0.01,0.01,0.03,26.57,22.35,18.71,17.4,-4.22,-1.32,18.59,2.49,22.3,0.05,-4.9,0.96,29.85,3.64,-1.32,0.080414526,2.490169326,5.772971182,4.0278222
10,6,2,2,Brassica_oleraceae,control,BO2,198,1.832,2.114,5.05,9.95,25.05,27.63,21.55,23.47,0.11,0.21,0.07,0.06,25.11,27.73,21.59,23.44,2.63,1.86,0.16,0.28,23.28,4.45,0.16,0.05,0.89,6.14,1.86,0.014134418,0.276419362,0.816957727,0.695762422
12,8,4,2,Brassica_oleraceae,MeJA_0.1,BO8,73.92,1.947,1.947,13.53,1.47,23.84,26.01,20.53,21.63,0.13,0.04,0.01,0.14,23.77,26.03,20.53,21.7,2.26,1.17,0.21,0.44,22.09,3.94,-0.39,0.06,1.31,5.51,1.17,0.022009261,0.444399406,1.264295179,1.122462048
13,,5,2,Brassica_oleraceae,MeJA_1.0,BO14,124,2.161,2.021,8.06,6.94,23.29,25.24,20.29,18.93,0.06,0,0.05,0.19,23.27,25.24,20.31,19.03,1.97,-1.29,0.26,2.44,21.74,3.5,-2.71,0.09,6.55,4.92,-1.29,0.032953638,2.43850684,1.903076206,6.175973947
16,7,8,2,Brassica_oleraceae,oral_secretion,BO20,296,1.977,2.072,3.38,11.62,29.3,29.44,23.8,24.9,0.83,0.01,0.4,0.06,29.71,29.43,24,24.93,-0.28,0.92,1.22,0.53,26.71,2.72,-1.78,0.15,3.43,5.43,0.92,0.023236818,0.526961369,1.336382813,1.334839854
