,from,to,weight,positive_negative,weighted_edge_betweenness
1,ASV_1,ASV_8,0.11565395886824,positive,0
2,ASV_1,ASV_9,0.0996028944069175,positive,0
3,ASV_1,ASV_40,0.112869359866615,positive,0
4,ASV_1,ASV_49,0.0262561126272817,positive,398
5,ASV_1,ASV_55,0.093364766720323,positive,0
6,ASV_1,ASV_80,0.0925560594877028,positive,0
7,ASV_1,ASV_104,0.161383449209461,positive,0
8,ASV_1,ASV_123,0.0478867820184604,positive,53
9,ASV_1,ASV_172,0.0710790163692812,positive,0
10,ASV_1,ASV_214,0.121073714252147,positive,0
11,ASV_1,ASV_219,0.155751571214746,positive,0
12,ASV_1,ASV_234,0.172443017607212,positive,0
13,ASV_1,ASV_341,0.0624473305363916,positive,0
14,ASV_1,ASV_620,0.0610731884365446,positive,0
15,ASV_1,ASV_626,0.0712497178068082,positive,0
16,ASV_1,ASV_775,0.0484410099513828,positive,16
17,ASV_2,ASV_438,0.122981259350182,positive,932
18,ASV_2,ASV_635,0.017067767274356,positive,467
19,ASV_3,ASV_259,0.0108960840914969,positive,3672
20,ASV_3,ASV_341,0.156774939627481,positive,0
21,ASV_3,ASV_933,0.0381052531928709,positive,4123
22,ASV_4,ASV_147,0.119047909909762,positive,0
23,ASV_4,ASV_245,0.0382126019611367,positive,853
24,ASV_4,ASV_430,0.0314079314438128,positive,1314
25,ASV_4,ASV_1023,0.0823007687417505,positive,0
26,ASV_5,ASV_7,0.0814358219064689,positive,0
27,ASV_5,ASV_9,0.0967344001883641,positive,0
28,ASV_5,ASV_18,0.13048520459241,positive,0
29,ASV_5,ASV_19,0.0620452484356014,positive,0
30,ASV_5,ASV_29,0.0783766661529955,positive,0
31,ASV_5,ASV_31,0.139945911578223,positive,0
32,ASV_5,ASV_39,0.0205621529199874,positive,273
33,ASV_5,ASV_83,0.121017292972621,positive,0
34,ASV_5,ASV_98,0.1319222124556,positive,0
35,ASV_5,ASV_104,0.167291417873197,positive,0
36,ASV_5,ASV_294,0.0934079764807738,positive,8
37,ASV_5,ASV_308,0.0506694572192882,positive,0
38,ASV_5,ASV_637,0.0891510190100973,positive,0
39,ASV_5,ASV_713,-0.0210719438831697,negative,186
40,ASV_5,ASV_1092,0.0375684930293488,positive,0
41,ASV_6,ASV_163,0.068267650027351,positive,0
42,ASV_6,ASV_217,0.0247796839148684,positive,245
43,ASV_6,ASV_249,0.0446565513070526,positive,0
44,ASV_6,ASV_271,0.0130121371778726,positive,708
45,ASV_6,ASV_286,0.0206338703481275,positive,20
46,ASV_6,ASV_288,0.126566633175998,positive,0
47,ASV_6,ASV_370,0.0269077169397228,positive,122
48,ASV_6,ASV_543,0.137780239364091,positive,0
49,ASV_7,ASV_8,0.0769662359274235,positive,0
50,ASV_7,ASV_9,0.0331329767635469,positive,0
51,ASV_7,ASV_18,0.109982167889381,positive,0
52,ASV_7,ASV_19,0.0209216347384492,positive,854
53,ASV_7,ASV_24,0.039110403955732,positive,0
54,ASV_7,ASV_29,-0.00418522400467128,negative,935
55,ASV_7,ASV_31,0.0218488055358507,positive,345
56,ASV_7,ASV_39,0.110237751106005,positive,0
57,ASV_7,ASV_57,0.0365138482385769,positive,0
58,ASV_7,ASV_80,-0.0230968024919827,negative,397
59,ASV_7,ASV_83,0.0609060969729965,positive,0
60,ASV_7,ASV_95,0.0866898118504266,positive,0
61,ASV_7,ASV_104,-0.038843655899428,negative,7
62,ASV_7,ASV_110,0.162801386651,positive,0
63,ASV_7,ASV_125,0.0159415988281,positive,100
64,ASV_7,ASV_214,0.035213964800781,positive,65
65,ASV_7,ASV_308,0.0851603133801352,positive,0
66,ASV_7,ASV_525,0.0722996885552815,positive,0
67,ASV_7,ASV_1092,0.0371468195917797,positive,8
68,ASV_8,ASV_9,0.0121840598486602,positive,1671
69,ASV_8,ASV_39,-0.0496057039778842,negative,0
70,ASV_8,ASV_40,0.00870224597860581,positive,1105
71,ASV_8,ASV_43,0.0487093067599234,positive,0
72,ASV_8,ASV_49,0.0584966899393511,positive,0
73,ASV_8,ASV_54,0.0105117387763638,positive,845
74,ASV_8,ASV_59,0.010949374775966,positive,959
75,ASV_8,ASV_83,-0.029900299723993,negative,121
76,ASV_8,ASV_92,-0.0394118773291883,negative,0
77,ASV_8,ASV_98,0.101379541787537,positive,0
78,ASV_8,ASV_104,0.0360088398466256,positive,0
79,ASV_8,ASV_110,0.141055475339937,positive,0
80,ASV_8,ASV_124,0.0287081900190459,positive,0
81,ASV_8,ASV_157,-0.0194161830163582,negative,70
82,ASV_8,ASV_214,0.0881544769928251,positive,0
83,ASV_8,ASV_250,0.0686917928813714,positive,0
84,ASV_8,ASV_308,-0.0450079438999001,negative,0
85,ASV_8,ASV_347,-0.0221739342639976,negative,0
86,ASV_8,ASV_386,0.0332079319359806,positive,0
87,ASV_8,ASV_490,0.00514283071136939,positive,1508
88,ASV_8,ASV_525,0.198519303199646,positive,0
89,ASV_8,ASV_545,0.0192347711789462,positive,466
90,ASV_8,ASV_1053,0.0273427189009675,positive,560
91,ASV_8,ASV_1092,0.0640947171827403,positive,0
92,ASV_9,ASV_19,0.0203859879287081,positive,0
93,ASV_9,ASV_22,0.0112083748050837,positive,7181
94,ASV_9,ASV_40,0.12908371766108,positive,0
95,ASV_9,ASV_57,0.0391652436646555,positive,0
96,ASV_9,ASV_92,0.00635265504290859,positive,4020
97,ASV_9,ASV_98,0.00083267941328617,positive,11303
98,ASV_9,ASV_104,0.0434552846833569,positive,0
99,ASV_9,ASV_110,0.038972869385489,positive,0
100,ASV_9,ASV_308,-0.0873913818825687,negative,0
101,ASV_9,ASV_545,-0.0624478096107948,negative,0
102,ASV_10,ASV_28,-0.0242489935551995,negative,6
103,ASV_10,ASV_49,0.0300626798493634,positive,0
104,ASV_10,ASV_55,-0.0160635308543606,negative,2303
105,ASV_10,ASV_120,0.038323493189875,positive,0
106,ASV_10,ASV_150,-0.0758247329211016,negative,0
107,ASV_10,ASV_157,0.0375255122265506,positive,0
108,ASV_10,ASV_163,-0.00179524725886237,negative,1505
109,ASV_10,ASV_271,0.0475390098169074,positive,72
110,ASV_10,ASV_286,0.103009219948864,positive,0
111,ASV_10,ASV_411,0.0885464137826954,positive,0
112,ASV_10,ASV_879,0.0323711922412861,positive,467
113,ASV_11,ASV_99,0.0474314662641254,positive,50
114,ASV_11,ASV_288,0.0537506715783393,positive,2709
115,ASV_11,ASV_361,-0.0216456450298711,negative,467
116,ASV_11,ASV_874,0.0493434425699136,positive,472
117,ASV_11,ASV_1136,0.0747677247597758,positive,1395
118,ASV_12,ASV_28,0.0412225703820702,positive,367
119,ASV_12,ASV_76,0.118700785767591,positive,1
120,ASV_12,ASV_83,0.0318852774578586,positive,99
121,ASV_12,ASV_220,0.144551167676693,positive,0
122,ASV_13,ASV_265,0.0222747855344905,positive,180
123,ASV_13,ASV_510,0.0380057355489112,positive,347
