,from,to,weight,positive_negative,weighted_edge_betweenness
1,ASV_1,ASV_180,-0.00636704303732268,negative,3
2,ASV_2,ASV_32,0.0175803398489635,positive,430
3,ASV_2,ASV_57,-0.00922896381231481,negative,430
4,ASV_2,ASV_1220,0.0607115186604357,positive,1287
5,ASV_3,ASV_49,0.0801741557467731,positive,0
6,ASV_3,ASV_65,0.0302053877396631,positive,431
7,ASV_3,ASV_106,0.00879769331038638,positive,2376
8,ASV_3,ASV_187,-0.00462257086526271,negative,1422
9,ASV_3,ASV_206,0.0342260415348197,positive,216
10,ASV_3,ASV_350,0.0931232557066117,positive,0
11,ASV_4,ASV_8,-0.0473804238777181,negative,413
12,ASV_4,ASV_28,0.0611645247494889,positive,18
13,ASV_4,ASV_563,0.127326039170088,positive,0
14,ASV_5,ASV_19,0.124375331704139,positive,8
15,ASV_5,ASV_22,0.0271656985458596,positive,435
16,ASV_6,ASV_10,0.0905687150475996,positive,0
17,ASV_6,ASV_35,0.028965684966453,positive,124
18,ASV_6,ASV_51,0.0893623984254636,positive,0
19,ASV_6,ASV_72,0.0662183272376325,positive,3
20,ASV_6,ASV_83,0.0213550979381763,positive,407
21,ASV_6,ASV_157,0.00952752905230079,positive,119
22,ASV_6,ASV_233,0.112216850924002,positive,0
23,ASV_6,ASV_492,0.0417541482278318,positive,9
24,ASV_6,ASV_603,0.0465864139454653,positive,22
25,ASV_6,ASV_626,0.104852240944992,positive,0
26,ASV_6,ASV_982,0.0302212138751784,positive,131
27,ASV_7,ASV_9,0.00703970522814021,positive,446
28,ASV_7,ASV_18,0.0133063090801596,positive,2835
29,ASV_7,ASV_24,-0.072801762700856,negative,0
30,ASV_7,ASV_29,0.0122428073762114,positive,0
31,ASV_7,ASV_39,-0.00326803291768837,negative,3362
32,ASV_7,ASV_74,0.0256504905980022,positive,0
33,ASV_7,ASV_131,0.085574668754897,positive,0
34,ASV_7,ASV_168,0.0906279642810365,positive,0
35,ASV_8,ASV_410,0.012652325493788,positive,842
36,ASV_9,ASV_57,0.162368102763199,positive,0
37,ASV_9,ASV_382,0.0311772018740817,positive,35
38,ASV_9,ASV_450,0.0629725519711354,positive,0
39,ASV_10,ASV_51,0.0237669534675463,positive,1136
40,ASV_10,ASV_55,0.0125719348451975,positive,4928
41,ASV_10,ASV_137,0.00293114686814301,positive,1651
42,ASV_10,ASV_177,0.0115565214620938,positive,1221
43,ASV_10,ASV_271,0.0127089490281137,positive,843
44,ASV_10,ASV_449,0.0401867551840432,positive,298
45,ASV_10,ASV_594,-0.0527639073530184,negative,0
46,ASV_10,ASV_816,0.000262430352449086,positive,1620
47,ASV_12,ASV_144,0.120407071272966,positive,0
48,ASV_12,ASV_168,0.0264978255317555,positive,0
49,ASV_12,ASV_204,0.0658823868993929,positive,0
50,ASV_12,ASV_302,0.0163239133936069,positive,431
51,ASV_12,ASV_563,0.0169305737994063,positive,1287
52,ASV_12,ASV_754,-0.0722113811407404,negative,431
53,ASV_13,ASV_214,0.0199733091174978,positive,431
54,ASV_13,ASV_548,0.102950303705971,positive,0
55,ASV_14,ASV_120,0.22968343211631,positive,0
56,ASV_14,ASV_146,0.0872547003486417,positive,0
57,ASV_14,ASV_162,0.0329210490667545,positive,86
58,ASV_14,ASV_163,0.0310078847551096,positive,0
59,ASV_14,ASV_349,0.16415179141136,positive,0
60,ASV_14,ASV_384,0.0186198680900066,positive,278
61,ASV_14,ASV_410,0.0933353962254726,positive,0
62,ASV_14,ASV_486,0.0578916495686057,positive,0
63,ASV_14,ASV_522,0.137050826832137,positive,0
64,ASV_14,ASV_569,0.109055911215115,positive,0
65,ASV_14,ASV_626,-0.0160178700836795,negative,1535
66,ASV_14,ASV_672,0.00777936534224098,positive,1375
67,ASV_14,ASV_845,0.0369197856185491,positive,234
68,ASV_14,ASV_895,0.0395546896481118,positive,1
69,ASV_15,ASV_64,0.0261520743686164,positive,54
70,ASV_15,ASV_188,0.00552593001651836,positive,666
71,ASV_15,ASV_201,0.0112328763321858,positive,407
72,ASV_16,ASV_611,0.135709251198928,positive,1
73,ASV_18,ASV_28,0.0213757090097249,positive,300
74,ASV_18,ASV_39,0.0762192952268503,positive,0
75,ASV_18,ASV_168,0.00257329932856049,positive,2738
76,ASV_18,ASV_314,0.151232466123625,positive,0
77,ASV_19,ASV_194,0.0310358120276509,positive,425
78,ASV_21,ASV_34,0.13446907360636,positive,2135
79,ASV_21,ASV_50,0.0647398306015772,positive,30
80,ASV_21,ASV_260,0.00877126411269427,positive,2562
81,ASV_22,ASV_281,0.105071704476397,positive,1287
82,ASV_22,ASV_323,0.018310720811292,positive,2957
83,ASV_22,ASV_424,0.00210262686947841,positive,860
84,ASV_22,ASV_834,0.0437247961233534,positive,18
85,ASV_24,ASV_27,-0.0309260015063505,negative,421
86,ASV_24,ASV_31,0.0508518307256471,positive,0
87,ASV_24,ASV_36,0.0402812171373823,positive,0
88,ASV_24,ASV_58,0.0160877765928909,positive,95
89,ASV_24,ASV_91,0.0262594350532799,positive,509
90,ASV_24,ASV_95,0.08890497291072,positive,0
91,ASV_24,ASV_125,0.0504173103879271,positive,88
92,ASV_24,ASV_126,0.0284681700583709,positive,177
93,ASV_24,ASV_160,0.0378033310197624,positive,825
94,ASV_24,ASV_391,0.00576950325247798,positive,2188
95,ASV_25,ASV_26,-0.0390143937182796,negative,429
96,ASV_25,ASV_449,0.149104490005034,positive,2
97,ASV_26,ASV_31,0.133922126226371,positive,0
98,ASV_26,ASV_75,0.0155416167056514,positive,434
99,ASV_26,ASV_122,0.0238367992402786,positive,1323
100,ASV_26,ASV_125,0.045533455594522,positive,38
101,ASV_26,ASV_131,-0.0120707433821509,negative,386
102,ASV_26,ASV_187,0.0879014547153408,positive,0
103,ASV_26,ASV_350,3.44166587564138e-05,positive,1137
104,ASV_27,ASV_91,0.0679007396718299,positive,0
105,ASV_27,ASV_95,0.106630327729104,positive,0
106,ASV_27,ASV_340,-0.018150570855588,negative,65
107,ASV_27,ASV_807,0.0299566476662972,positive,39
108,ASV_28,ASV_98,0.0109308924704971,positive,1572
109,ASV_28,ASV_101,0.0241250295732281,positive,494
110,ASV_28,ASV_118,-0.0249745736588674,negative,4631
111,ASV_28,ASV_120,-0.0264099228473838,negative,2028
112,ASV_28,ASV_130,0.062518435733267,positive,0
113,ASV_28,ASV_168,0.0369692542711245,positive,0
114,ASV_28,ASV_314,0.0858137365240139,positive,0
115,ASV_28,ASV_341,0.0926389911492153,positive,0
116,ASV_28,ASV_410,0.0488980568821681,positive,0
117,ASV_28,ASV_563,0.1126802558799,positive,0
118,ASV_28,ASV_603,0.127088064230578,positive,0
119,ASV_28,ASV_644,0.0357474895617604,positive,0
120,ASV_28,ASV_1201,0.0363118553687743,positive,624
121,ASV_29,ASV_39,0.00648695685051108,positive,431
122,ASV_29,ASV_74,0.063682399222493,positive,0
123,ASV_30,ASV_77,0.0509991658723449,positive,0
124,ASV_30,ASV_78,0.0440022913411503,positive,0
125,ASV_30,ASV_80,0.0906349088603933,positive,0
126,ASV_30,ASV_81,0.0342655852031163,positive,0
127,ASV_30,ASV_109,0.0400926058855898,positive,0
128,ASV_30,ASV_121,0.0512797859350573,positive,0
129,ASV_30,ASV_127,0.0285531700341693,positive,32
130,ASV_30,ASV_146,-0.00929408611568141,negative,4002
131,ASV_30,ASV_181,-0.0173425553859612,negative,798
132,ASV_30,ASV_199,0.00192322007121432,positive,2201
133,ASV_30,ASV_214,0.0580314874946833,positive,0
134,ASV_30,ASV_235,0.0317320761519021,positive,0
135,ASV_30,ASV_250,0.00922277823136479,positive,1428
136,ASV_30,ASV_272,0.0399251943018662,positive,0
137,ASV_30,ASV_295,0.0491680791921357,positive,0
138,ASV_30,ASV_307,0.0141616809700318,positive,0
139,ASV_30,ASV_318,0.032149832709855,positive,60
140,ASV_30,ASV_347,0.039778792565862,positive,0
141,ASV_30,ASV_384,0.0577684290498144,positive,0
142,ASV_30,ASV_407,0.0318094915778635,positive,236
143,ASV_30,ASV_563,0.0322584602418643,positive,612
144,ASV_30,ASV_619,-0.0448089406935984,negative,0
145,ASV_30,ASV_672,-0.00745884770152284,negative,2021
146,ASV_30,ASV_835,0.00389741883061014,positive,5513
147,ASV_31,ASV_36,0.0313100180891874,positive,0
148,ASV_31,ASV_37,-0.0321581709703201,negative,87
149,ASV_31,ASV_91,0.0374061636254661,positive,0
150,ASV_31,ASV_95,0.00908673024066183,positive,321
151,ASV_31,ASV_122,0.0232270404687892,positive,10
152,ASV_31,ASV_131,0.0315848650222683,positive,544
153,ASV_31,ASV_686,-0.00688259290182613,negative,674
154,ASV_31,ASV_807,0.0397768543026232,positive,0
155,ASV_31,ASV_823,-0.0135840379614138,negative,883
156,ASV_32,ASV_57,0.0247900296674319,positive,1
157,ASV_33,ASV_191,0.0415593983587473,positive,0
158,ASV_33,ASV_233,0.0234468298957781,positive,0
159,ASV_33,ASV_245,0.0595871421515739,positive,0
160,ASV_33,ASV_343,0.0586206279864195,positive,0
161,ASV_33,ASV_378,-0.0807044391225603,negative,0
162,ASV_33,ASV_490,0.00437082282339566,positive,431
163,ASV_33,ASV_492,0.0476043591118738,positive,0
164,ASV_34,ASV_280,0.0547430372930029,positive,860
165,ASV_34,ASV_376,0.0110840940510854,positive,860
166,ASV_35,ASV_106,0.038540377905006,positive,0
167,ASV_35,ASV_128,0.044718943982995,positive,0
168,ASV_35,ASV_233,0.00638161904802661,positive,1857
169,ASV_35,ASV_245,-0.0538380167495411,negative,0
170,ASV_35,ASV_543,0.0380220460185135,positive,0
171,ASV_35,ASV_571,0.103666170958384,positive,0
172,ASV_35,ASV_603,0.0267107548996597,positive,1434
173,ASV_36,ASV_37,0.034555181100115,positive,106
174,ASV_36,ASV_85,0.0628699998612864,positive,226
175,ASV_36,ASV_95,0.00957526434913952,positive,760
176,ASV_36,ASV_122,-0.00928016503532664,negative,1839
177,ASV_36,ASV_166,0.058223734790296,positive,7
178,ASV_36,ASV_273,0.0385078733644911,positive,0
179,ASV_36,ASV_391,0.0126543663066796,positive,1939
180,ASV_36,ASV_807,0.0507586067429916,positive,0
181,ASV_37,ASV_73,0.0371905773219835,positive,261
182,ASV_37,ASV_122,-0.0453491962455861,negative,0
183,ASV_37,ASV_159,0.0963102181332743,positive,7
184,ASV_37,ASV_162,-0.0235149441316135,negative,382
185,ASV_39,ASV_58,0.0460920541182608,positive,7
186,ASV_39,ASV_74,0.0166780572999121,positive,2197
187,ASV_39,ASV_81,0.00804834950520037,positive,3560
188,ASV_39,ASV_120,0.0456638849685772,positive,0
189,ASV_39,ASV_152,-0.0149259642965645,negative,524
190,ASV_39,ASV_601,-0.00812649980589927,negative,1252
191,ASV_40,ASV_126,0.0357980921626073,positive,414
192,ASV_40,ASV_131,-0.0432379160084455,negative,27
193,ASV_40,ASV_330,0.0907742742308561,positive,0
194,ASV_41,ASV_649,-0.022621133204437,negative,431
195,ASV_42,ASV_70,0.074305424200452,positive,395
196,ASV_42,ASV_294,0.0964528942357967,positive,0
197,ASV_42,ASV_1050,-0.073582674298766,negative,36
198,ASV_43,ASV_51,0.0215661650784087,positive,410
199,ASV_43,ASV_70,0.0561525098872402,positive,0
200,ASV_43,ASV_114,-0.0842352308943869,negative,16
201,ASV_43,ASV_168,0.0398255513961705,positive,434
202,ASV_43,ASV_226,0.0314704046543288,positive,431
203,ASV_43,ASV_603,0.0459550524064608,positive,0
204,ASV_44,ASV_74,0.0277124002944329,positive,0
205,ASV_44,ASV_122,0.038937791100091,positive,0
206,ASV_44,ASV_486,-0.0117023168574392,negative,3218
207,ASV_44,ASV_823,0.00168305337981442,positive,3065
208,ASV_45,ASV_51,-0.0778644747032393,negative,84
209,ASV_45,ASV_83,-0.0695922719953558,negative,764
210,ASV_45,ASV_157,-0.0768914238888443,negative,12
211,ASV_45,ASV_475,0.0240065797800706,positive,431
212,ASV_46,ASV_742,-0.030143706360437,negative,431
213,ASV_47,ASV_410,0.0297077347906069,positive,288
214,ASV_47,ASV_421,-0.0276715506281936,negative,163
215,ASV_47,ASV_660,0.0371255767340536,positive,28
216,ASV_48,ASV_50,-0.0283888218993432,negative,273
217,ASV_48,ASV_874,-0.0131944136228213,negative,666
218,ASV_49,ASV_51,-0.102097636325405,negative,0
219,ASV_49,ASV_75,-0.0756811147411765,negative,0
220,ASV_49,ASV_102,0.0961344315668258,positive,0
221,ASV_49,ASV_104,0.114361191169934,positive,431
222,ASV_49,ASV_350,-0.0292417499926261,negative,589
223,ASV_49,ASV_382,0.0127087824473966,positive,1183
224,ASV_49,ASV_391,-0.0294377413833158,negative,333
225,ASV_49,ASV_720,0.01292932019003,positive,487
226,ASV_50,ASV_87,-0.0268346282400516,negative,4
227,ASV_50,ASV_524,0.041945201683272,positive,78
228,ASV_50,ASV_528,0.0303789970223353,positive,118
229,ASV_51,ASV_70,0.118713695542542,positive,0
230,ASV_51,ASV_87,0.0710251413170356,positive,25
231,ASV_51,ASV_92,0.0556859914526842,positive,92
232,ASV_51,ASV_149,0.0681091858415743,positive,0
233,ASV_51,ASV_177,0.0175284056426334,positive,496
234,ASV_51,ASV_260,0.00989837889772817,positive,2974
235,ASV_51,ASV_326,0.032384682362595,positive,268
236,ASV_51,ASV_335,0.00641350141041667,positive,2102
237,ASV_51,ASV_528,0.0861876723178673,positive,0
238,ASV_51,ASV_603,0.0278507433960174,positive,0
239,ASV_51,ASV_684,0.0449358035677293,positive,0
240,ASV_52,ASV_137,0.218874240299738,positive,0
241,ASV_52,ASV_156,0.0358767493882681,positive,2135
242,ASV_52,ASV_373,0.052192800429553,positive,1712
243,ASV_53,ASV_254,-0.103183342058371,negative,426
244,ASV_53,ASV_519,0.15140080336728,positive,5
245,ASV_54,ASV_132,0.0175660407575172,positive,431
246,ASV_55,ASV_83,-0.00169505768172347,negative,5351
247,ASV_55,ASV_120,0.0605890445248363,positive,0
248,ASV_55,ASV_124,0.121378495116253,positive,0
249,ASV_55,ASV_144,0.0289256573729433,positive,92
250,ASV_55,ASV_271,0.0315384579411933,positive,0
251,ASV_55,ASV_563,-0.0427269896607829,negative,0
252,ASV_58,ASV_81,0.0593919139659673,positive,0
253,ASV_58,ASV_126,0.0144617292335578,positive,324
254,ASV_58,ASV_152,0.146381952016927,positive,0
255,ASV_58,ASV_421,0.0335053934808849,positive,19
256,ASV_58,ASV_644,0.0605054099163841,positive,0
257,ASV_58,ASV_874,0.0570835273152936,positive,0
258,ASV_59,ASV_64,0.0397898775818306,positive,1450
259,ASV_59,ASV_83,0.0538303753212797,positive,0
260,ASV_59,ASV_120,0.0122840140065867,positive,5419
261,ASV_59,ASV_157,0.0302170748694833,positive,123
262,ASV_59,ASV_159,0.033315413969961,positive,2984
263,ASV_59,ASV_260,0.125525016906874,positive,0
264,ASV_59,ASV_371,0.0110654381218445,positive,1287
265,ASV_59,ASV_779,0.0201808511691354,positive,446
266,ASV_60,ASV_369,0.122057057350241,positive,1287
267,ASV_60,ASV_399,0.0258210510391111,positive,431
268,ASV_60,ASV_565,-0.0513747822047235,negative,431
269,ASV_61,ASV_98,0.0260777137714093,positive,217
270,ASV_61,ASV_101,0.0378109125530665,positive,214
271,ASV_62,ASV_127,0.0546780622423364,positive,1
272,ASV_62,ASV_136,0.0140931155287005,positive,89
273,ASV_62,ASV_157,0.0319413802929517,positive,10
274,ASV_62,ASV_432,0.0129026902548649,positive,393
275,ASV_64,ASV_73,0.0246335940069304,positive,356
276,ASV_64,ASV_100,0.028766931633894,positive,1702
277,ASV_64,ASV_188,-0.0716962001363196,negative,0
278,ASV_64,ASV_315,-0.0158938754186405,negative,405
279,ASV_66,ASV_340,0.0362366320979287,positive,108
280,ASV_66,ASV_1075,-0.00730734557410808,negative,407
281,ASV_67,ASV_132,0.0742267941054622,positive,112
282,ASV_67,ASV_200,0.0492616214450836,positive,1287
283,ASV_67,ASV_313,0.0539345578196776,positive,1624
284,ASV_68,ASV_213,0.00590385516481677,positive,1225
285,ASV_68,ASV_254,0.0276590662756363,positive,0
286,ASV_68,ASV_333,0.0474076126960166,positive,12
287,ASV_68,ASV_535,-0.0125403965707131,negative,810
288,ASV_69,ASV_179,-0.0147127594626112,negative,848
289,ASV_69,ASV_336,-0.0549541789541277,negative,419
290,ASV_70,ASV_335,0.108606777026722,positive,0
291,ASV_70,ASV_603,0.0205580408161789,positive,822
292,ASV_70,ASV_684,0.00716924973916879,positive,2
293,ASV_71,ASV_118,-0.0140893648540234,negative,2183
294,ASV_71,ASV_175,-0.0280537686182713,negative,1768
295,ASV_72,ASV_120,0.0950261210053408,positive,0
296,ASV_72,ASV_163,0.0493021060032397,positive,50
297,ASV_72,ASV_271,-0.0248822024457799,negative,121
298,ASV_72,ASV_492,0.0461944507678385,positive,18
299,ASV_72,ASV_543,0.0420996189345003,positive,239
300,ASV_72,ASV_816,0.136750562490796,positive,0
301,ASV_73,ASV_177,0.0208778192041169,positive,1411
302,ASV_73,ASV_201,-0.00781587375696508,negative,462
303,ASV_73,ASV_315,-0.0181787447231532,negative,422
304,ASV_73,ASV_820,0.0262042180009195,positive,431
305,ASV_74,ASV_95,-0.00720807340846562,negative,1922
306,ASV_74,ASV_823,-0.00829124115711038,negative,1518
307,ASV_75,ASV_164,0.0734912391792617,positive,17
308,ASV_75,ASV_528,-0.0649163272860468,negative,10
309,ASV_75,ASV_720,0.0590275458762055,positive,0
310,ASV_77,ASV_78,0.0430355287048944,positive,0
311,ASV_77,ASV_81,0.056030708097528,positive,0
312,ASV_77,ASV_121,0.0280183998660614,positive,249
313,ASV_77,ASV_136,0.118991072527762,positive,0
314,ASV_77,ASV_146,0.0489582635735257,positive,0
315,ASV_77,ASV_181,0.031419116934137,positive,115
316,ASV_77,ASV_199,0.135301646301865,positive,0
317,ASV_77,ASV_213,0.0113424303591813,positive,1502
318,ASV_77,ASV_214,0.0539602268737907,positive,0
319,ASV_77,ASV_235,0.0115053318930107,positive,400
320,ASV_77,ASV_254,0.0794154011337344,positive,0
321,ASV_77,ASV_272,0.0217275586043772,positive,0
322,ASV_77,ASV_295,-0.0377633308052444,negative,0
323,ASV_77,ASV_317,0.0293042747857854,positive,0
324,ASV_77,ASV_332,0.013261022433978,positive,2367
325,ASV_77,ASV_349,-0.0477844702490581,negative,0
326,ASV_77,ASV_365,-0.005973670437337,negative,2970
327,ASV_77,ASV_447,-0.034136391741358,negative,36
328,ASV_77,ASV_628,-0.016153487807454,negative,919
329,ASV_77,ASV_649,-0.048329603665734,negative,0
330,ASV_77,ASV_1046,0.0108392547998441,positive,543
331,ASV_78,ASV_80,-0.0249482928152064,negative,0
332,ASV_78,ASV_81,-0.00612849226358541,negative,1841
333,ASV_78,ASV_109,0.00218771969363834,positive,1181
334,ASV_78,ASV_121,-0.0267369700701138,negative,0
335,ASV_78,ASV_146,0.0176739492468833,positive,913
336,ASV_78,ASV_181,-0.020588479813963,negative,678
337,ASV_78,ASV_199,0.010826199075813,positive,74
338,ASV_78,ASV_214,0.0204164777483411,positive,1068
339,ASV_78,ASV_295,0.0432967326651217,positive,0
340,ASV_78,ASV_307,0.0292450097018498,positive,0
341,ASV_78,ASV_318,0.0456211141474204,positive,0
342,ASV_78,ASV_347,0.19882866494594,positive,0
343,ASV_78,ASV_384,0.0510754960888395,positive,0
344,ASV_78,ASV_619,0.197544678258457,positive,0
345,ASV_78,ASV_672,0.0564181056999536,positive,0
346,ASV_78,ASV_895,0.127674564512738,positive,0
347,ASV_79,ASV_160,0.108993111639935,positive,0
348,ASV_79,ASV_307,0.041241478604059,positive,119
349,ASV_79,ASV_407,0.0123535989717761,positive,312
350,ASV_80,ASV_81,-0.0302790132619797,negative,0
351,ASV_80,ASV_120,-0.0250271772649341,negative,0
352,ASV_80,ASV_136,0.0481672234146629,positive,0
353,ASV_80,ASV_146,0.0178114223343561,positive,0
354,ASV_80,ASV_214,-0.00243375643952947,negative,8046
355,ASV_80,ASV_245,-0.0127954356339821,negative,5497
356,ASV_80,ASV_272,-0.0155095764862278,negative,765
357,ASV_80,ASV_295,0.115889372931557,positive,0
358,ASV_80,ASV_895,0.0901554364956035,positive,0
359,ASV_80,ASV_994,-0.0193544875827954,negative,1905
360,ASV_81,ASV_120,0.0438737115273821,positive,0
361,ASV_81,ASV_126,0.0788472728079891,positive,0
362,ASV_81,ASV_144,-0.0298718254084417,negative,207
363,ASV_81,ASV_146,0.0739514370441017,positive,0
364,ASV_81,ASV_152,0.0204916057200578,positive,144
365,ASV_81,ASV_163,0.0323090243829418,positive,168
366,ASV_81,ASV_192,0.0526490149532342,positive,0
367,ASV_81,ASV_245,0.0171588331068552,positive,756
368,ASV_81,ASV_250,-0.0286530387188352,negative,0
369,ASV_81,ASV_268,0.00277332829757871,positive,1915
370,ASV_81,ASV_272,-0.0443261434855447,negative,0
371,ASV_81,ASV_295,-0.0432471406807361,negative,0
372,ASV_81,ASV_307,-0.00645174559111753,negative,5501
373,ASV_81,ASV_317,-0.0501785276138262,negative,0
374,ASV_81,ASV_318,0.0447237823268571,positive,0
375,ASV_81,ASV_349,0.0411233945058504,positive,0
376,ASV_81,ASV_384,0.0916436246028342,positive,0
377,ASV_81,ASV_411,0.0833993133461182,positive,0
378,ASV_81,ASV_421,0.0641660618893113,positive,0
379,ASV_81,ASV_444,0.100428251085893,positive,0
380,ASV_81,ASV_672,-0.0172845307130517,negative,420
381,ASV_81,ASV_784,-0.0092583908571333,negative,1226
382,ASV_81,ASV_835,0.0259331631765462,positive,0
383,ASV_81,ASV_874,0.104803249611089,positive,0
384,ASV_81,ASV_1201,0.000326385226110151,positive,6581
385,ASV_83,ASV_98,0.0292570796868384,positive,0
386,ASV_83,ASV_106,0.00805650190393045,positive,4610
387,ASV_83,ASV_157,0.0254327110387623,positive,670
388,ASV_83,ASV_341,0.000399858657602846,positive,8107
389,ASV_83,ASV_410,0.0150952545201397,positive,1515
390,ASV_83,ASV_431,-0.0647565837440085,negative,0
391,ASV_83,ASV_603,0.0505818342632323,positive,0
392,ASV_83,ASV_683,0.068621362229328,positive,431
393,ASV_85,ASV_166,0.187790202649986,positive,0
394,ASV_85,ASV_860,-0.00586670394104258,negative,467
395,ASV_86,ASV_500,0.0618379376957437,positive,57
396,ASV_86,ASV_569,0.041027580615639,positive,64
397,ASV_86,ASV_845,-0.00993574680704415,negative,1481
398,ASV_86,ASV_860,0.025643004607338,positive,1167
399,ASV_87,ASV_528,0.0110137603649251,positive,402
400,ASV_90,ASV_105,-0.0445770944495874,negative,431
401,ASV_91,ASV_95,0.0232310545457862,positive,272
402,ASV_91,ASV_125,0.0507589045255378,positive,50
403,ASV_91,ASV_149,0.0350470419923738,positive,94
