Row.names,Degree,ClosenessCentrality,BetwenessCentrality,EigenvectorCentrality,OTU,Domain,Phylum,Class,Order,Family,Genus,Species,DADA2_ID,module,Zi,Pi,keystone_taxa,freq_in_4slice,freq_in_control,freq_in_MeJA_0.1,freq_in_MeJA_1.0,freq_in_oral_secretion
ASV_1,3,0.0382331610585028,0,0,ASV_1,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,93120265f9c84ff7e35370a1f4336272,1,0.553295000310642,0,,15082,3821,2766,4390,4105
ASV_10,2,0.027117070065298,0,0,ASV_10,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__,c10f089319ce7c050aa0c8e980d33faa,4,-0.432294059975191,0,,2310,630,658,351,671
ASV_102,2,0.0231575123241353,0.00196620188909593,0,ASV_102,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Niastella,s__,85983d886e76850a9cf01950d87b10d1,4,-0.432294059975191,0,,457,134,161,66,96
ASV_103,2,0.0267908024261608,0.00231317869305404,0.00941839700922052,ASV_103,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,,,c9c7584cc7552cf62ff234cab23b0870,5,-0.179398740368981,0,,368,33,106,141,88
ASV_104,11,0.0461425947978606,0.0277452933239093,0.0274683869438821,ASV_104,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Dokdonella,s__,0e9a004ba66fba6d89f9049f23909a6c,2,0.811229939357688,0.314049586776859,,480,99,76,231,74
ASV_106,2,0.0281272480344041,0.00196620188909593,0,ASV_106,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__Parachlamydiaceae,g__Candidatus_Protochlamydia,s__,1334a5f4baeb1f92f8e523ca7ae3e4e3,19,,0.5,,472,155,152,72,93
ASV_107,3,0.0262405279726852,0.00584720169633104,0,ASV_107,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Niastella,s__,54cd9ca92b7b8bc2d999c049f62a56af,10,0.866025403784439,0.444444444444444,,321,111,100,58,52
ASV_108,1,0.0301878215296041,0,0,ASV_108,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Asticcacaulis,s__,2c1ee711b18969eb7e426dcf96038b52,4,-1.11675965493591,0,,339,93,92,101,53
ASV_113,1,0.0245564820942983,0,0,ASV_113,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cytophagaceae,g__Sporocytophaga,s__,a4152a488a63c9f0423b1fc7787f4bdf,8,-1.2652087952858,0,,446,160,183,43,60
ASV_118,4,0.0428596788213181,0.029904260104093,0,ASV_118,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,,,79fea04aad9136be18cdcc527926bb53,7,-0.15001172012347,0.625,,131,49,33,25,24
ASV_119,4,0.0425738046237337,0.00391955278545268,0.00743463171979932,ASV_119,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Massilia,s__,23e4907e2164b5ac3b20e0c035396468,2,-0.413268082314294,0,,337,70,109,69,89
ASV_12,13,0.0441904386367484,0.0189423632975647,0.308484064824107,ASV_12,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,,,628500afb0bc5d9a9be630c3c214f4a4,2,1.54592875236088,0.142011834319526,,536,161,199,102,74
ASV_122,3,0.0373490413413493,0,0,ASV_122,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,,,427de3377089f603e2c5f1ec433b3536,8,-0.506083518114321,0,,217,58,49,56,54
ASV_125,5,0.0323055884736671,0.0115144894943134,0,ASV_125,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,,,54c1510b5b87168aaf3e757b1d03726e,8,-0.12652087952858,0.32,,170,55,42,59,14
ASV_127,11,0.0469294488410159,0.0207029493028336,0.306048509358482,ASV_127,d__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__Sandaracinaceae,g__uncultured,s__,1c23f15445f2ce9d2180d53e8f2c71f8,2,1.30102914802648,0,,322,120,91,68,43
ASV_129,5,0.0452354490598688,0.0155111482362012,0,ASV_129,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Pelomonas,s__,ff0a078d1b149791b04c626ed69f58f7,7,1.87514650154337,0,,160,44,51,46,19
ASV_130,1,0.0244834052079176,0,0.0350060582475069,ASV_130,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Mucilaginibacter,s__,291ed27556ec8aa3de831feae0c6b7a7,19,,0,,71,25,18,4,24
ASV_131,3,0.031829710452571,0.00196620188909593,0.00341542876772025,ASV_131,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,,,29b9b0c2d3a36ff404bfba4cb63aca1e,8,-0.506083518114321,0,,96,35,26,24,11
ASV_135,4,0.0391742050980517,0.00688813210820536,0,ASV_135,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,s__,ea6a32e7238ae591b4d7b0cdc5272a26,8,-0.506083518114321,0.375,,75,22,12,23,18
ASV_136,1,0.0252588531993509,0,0,ASV_136,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Rhodopseudomonas,s__,455e95916895c7361581c291d0bdcf44,5,-1.52488929313634,0,,186,32,58,55,41
ASV_138,1,0.029588813851582,0,0.0298134380296637,ASV_138,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Polaromonas,s__,e3bc6e3dfe5eff6c357076ff34ffcc04,2,-1.14796689531748,0,,308,107,64,102,35
ASV_139,1,0.0303590605320433,0,0,ASV_139,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,,,b0cef4917c9fb8b476660cb01662a0c0,1,-1.15688954610407,0,,378,169,89,60,60
ASV_140,7,0.0410074894597402,0.00718370494120671,0.159753371905066,ASV_140,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,,,b08c5feb745b0a0875662e8cfa9c5355,2,0.0765311263544989,0.244897959183674,,309,87,73,110,39
ASV_142,1,0.0341468761462852,0,0.00150543793458712,ASV_142,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,,,c2fbcc21ebaaca81dadf53863c57e86a,17,,0,,181,39,29,84,29
ASV_143,3,0.0380826004323852,0.00568013879072158,0.00267186159945482,ASV_143,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Ferruginibacter,s__,6fd81067db815cc85c9e00fe64d32714,4,-1.11675965493591,0.444444444444444,,249,78,82,34,55
ASV_147,2,0.0303071443356708,0,0,ASV_147,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__uncultured,s__,dfb7f84268bec53613d1930382500b1d,5,-0.179398740368981,0,,266,,97,45,124
ASV_153,1,0.044218171702917,0,0.00565796741658773,ASV_153,d__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__Polyangiaceae,g__Pajaroellobacter,s__,6a632071f5378dbc1606a3933cd9500f,2,-1.14796689531748,0,,368,112,130,69,57
ASV_156,2,0.0391624161595342,0,0,ASV_156,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Kribbella,s__,df34ea9690bc1c0642e1b6246dba210e,2,-1.14796689531748,0.5,,471,122,28,293,28
ASV_157,4,0.0424606307099397,0.0295829852856133,0.0204693275744763,ASV_157,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,,,22d1530a599b35b2b24079d1868446c7,4,-0.432294059975191,0.625,,164,40,66,17,41
ASV_158,4,0.0352794730294614,0.00668251622437833,0,ASV_158,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Phenylobacterium,s__,368888cc29a1ba9db3401f4aa16b553a,4,-0.432294059975191,0.625,,285,60,87,98,40
ASV_159,9,0.0448618931786581,0.0278866542440404,0.0499601729603047,ASV_159,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,,,a805e0363ffbb96707460188ab17fd17,2,0.321430730688895,0.37037037037037,,257,74,77,46,60
ASV_16,4,0.0313972932622172,0.0156268071708539,0,ASV_16,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia-Caballeronia-Paraburkholderia,s__,47e1a48800fe5d17f09e178ed259ae4b,5,2.51158236516573,0,,5849,7,1287,3797,758
ASV_161,5,0.0362064939353518,0.00313564222836214,0,ASV_161,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Rhizobacter,s__,005b1a533826d0e135eafe3773b12203,4,1.62110272490697,0,,334,113,100,35,86
ASV_163,6,0.0321433730139962,0.00965109554713102,0,ASV_163,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Rubritaleaceae,g__Luteolibacter,s__,7b0b4759e82c6380648e5d33598b6678,4,2.30556831986769,0,,216,95,55,40,26
ASV_167,3,0.0332778777136486,0.0185311315299107,0,ASV_167,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia-Caballeronia-Paraburkholderia,s__,a88b7f508c090e49b2ef7f2189760aa4,5,-0.179398740368981,0.444444444444444,,240,4,83,109,44
ASV_170,3,0.0432341181634818,0.00304568527918782,0,ASV_170,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Pelomonas,s__,1eaaddbb841697d9de23103f4100e6a8,7,0.525041020432144,0,,258,109,85,30,34
ASV_18,5,0.043234983835909,0.0228747670757566,0.519792782657912,ASV_18,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Devosiaceae,g__Devosia,s__,c7511f6ef1f1bdb63c249524f83d76e9,2,-0.65816768664869,0.56,,1641,481,394,480,286
ASV_186,7,0.0407915307174348,0.0281179721133458,0,ASV_186,d__Bacteria,p__Myxococcota,c__Polyangia,o__mle1-27,f__mle1-27,g__mle1-27,s__,f0e405ab3832911221d95c6f1458e3d7,8,1.01216703622864,0,,133,50,49,26,8
ASV_187,5,0.0414128354039795,0.0176958170018634,0,ASV_187,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Pelomonas,s__,d1d2369e5d24e487e8c865eff9161dcb,7,1.20009376098776,0.32,,214,50,73,27,64
ASV_189,1,0.0303708984422646,0,0,ASV_189,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Niastella,s__,8b0b01ce1aaea696e5aa2a654c5e96c0,6,-0.933333333333333,0,,268,77,83,51,57
ASV_19,2,0.0242754316593593,0,0,ASV_19,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Rhizobacter,s__,719b5118d4c9e13de0a3ce346e679979,5,-0.179398740368981,0,,1860,623,485,436,316
