Row.names,above_expected_in,Degree,ClosenessCentrality,BetwenessCentrality,EigenvectorCentrality,OTU,Domain,Phylum,Class,Order,Family,Genus,Species,DADA2_ID,module,Zi,Pi,keystone_taxa,freq_in_4slice,freq_in_control,freq_in_MeJA_0.1,freq_in_MeJA_1.0,freq_in_oral_secretion,control_fit_class,MeJA_0.1_fit_class,MeJA_1.0_fit_class,oral_secretion_fit_class,neutral_score
ASV_1,MeJA_0.1__MeJA_1.0__oral_secretion,16,0.0158129989702528,0,0.946939389931908,ASV_1,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,93120265f9c84ff7e35370a1f4336272,3,-0.0289664914527868,0.6328125,,1366,345,204,476,341,As predicted,Above prediction,Above prediction,Above prediction,11
ASV_10,,11,0.0180405470787071,0.0114527889279883,0.00948373110247142,ASV_10,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__,c10f089319ce7c050aa0c8e980d33faa,3,0.275181668801476,0.611570247933884,,3963,870,802,894,1397,As predicted,As predicted,As predicted,As predicted,8
ASV_101,MeJA_1.0,2,0.0115163158981255,2.35775376798524e-05,0,ASV_101,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter,s__,5533ff6196254dbb7b11505fc56b8e42,10,0,0,,376,38,83,44,211,As predicted,As predicted,Above prediction,As predicted,9
ASV_1010,,2,0.0184473175232594,0.00274678313970281,0,ASV_1010,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Terrimonas,s__,5dcfbf68adfb01303260e669d1294bcc,1,-0.0673936657353674,0,,37,6,6,10,15,As predicted,As predicted,As predicted,As predicted,8
ASV_1018,MeJA_0.1,1,0.012249498014812,0,0,ASV_1018,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Pir4_lineage,s__,08b22a47cbea9fbe15110708df8e86db,8,-0.750234484920533,0,,46,,31,6,9,,Above prediction,As predicted,As predicted,
ASV_102,control__MeJA_0.1__MeJA_1.0__oral_secretion,2,0.015418885257148,0,0.0124960338405035,ASV_102,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Niastella,s__,85983d886e76850a9cf01950d87b10d1,3,-0.941410972215574,0,,240,56,51,81,52,Above prediction,Above prediction,Above prediction,Above prediction,12
ASV_1021,,1,0.00981777984700111,0,0,ASV_1021,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Duganella,s__,622f2c51e7d14ab81aa735e41711dded,18,-0.577350269189626,0,,50,3,8,7,32,As predicted,As predicted,As predicted,As predicted,8
ASV_1023,,3,0.0171725739077154,0,0.00504375120457885,ASV_1023,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Cytophagaceae,g__Cytophaga,s__,a263d56c8142634597712f87de80fd0c,4,-0.134809337487711,0.444444444444444,,45,8,4,23,10,As predicted,As predicted,As predicted,As predicted,8
ASV_103,MeJA_1.0,3,0.0154802993537201,0.0114527889279883,0.00140730971103623,ASV_103,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,,,c9c7584cc7552cf62ff234cab23b0870,5,-0.212475541749988,0.444444444444444,,1122,183,295,333,311,Below prediction,As predicted,Above prediction,As predicted,8
ASV_104,control__MeJA_0.1__MeJA_1.0__oral_secretion,22,0.0188930959079497,0.0143351429093503,0.707472228373105,ASV_104,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Dokdonella,s__,0e9a004ba66fba6d89f9049f23909a6c,2,2.85577752764407,0.165289256198347,,454,163,81,108,102,Above prediction,Above prediction,Above prediction,Above prediction,12
ASV_105,MeJA_0.1__MeJA_1.0__oral_secretion,2,0.0134244494333966,0.00548177751056568,0.00200479421663862,ASV_105,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Caulobacter,s__,52d6fae91fe613402b5eb064db422d2a,18,-0.577350269189626,0.5,,387,68,68,120,131,As predicted,Above prediction,Above prediction,Above prediction,11
ASV_1053,MeJA_0.1,6,0.018874702871507,0.0660701549633664,0.0394277527641236,ASV_1053,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Ferruginibacter,s__,cc09af102bc1e75d7b9dd1995f1643b9,8,0.875273565740622,0.611111111111111,,47,13,15,,19,As predicted,Above prediction,,As predicted,
ASV_1059,,2,0.0160528185676152,0.00268783929550317,0,ASV_1059,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Massilia,s__,5661538d2328cbdd0c12118828c7318a,7,0,0,,34,3,4,19,8,As predicted,As predicted,As predicted,As predicted,8
ASV_106,control__MeJA_0.1__MeJA_1.0__oral_secretion,2,0.00768499489987508,0.00274678313970281,0,ASV_106,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__Parachlamydiaceae,g__Candidatus_Protochlamydia,s__,1334a5f4baeb1f92f8e523ca7ae3e4e3,6,-0.317943550159617,0,,248,63,38,53,94,Above prediction,Above prediction,Above prediction,Above prediction,12
ASV_107,MeJA_0.1__oral_secretion,2,0.0105106917492371,0.00274678313970281,0,ASV_107,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Niastella,s__,54cd9ca92b7b8bc2d999c049f62a56af,11,-0.627895591291433,0,,195,50,40,29,76,As predicted,Above prediction,Below prediction,Above prediction,9
ASV_108,control__MeJA_0.1__MeJA_1.0__oral_secretion,4,0.0123624593725526,0.00548177751056568,0.00154627286093538,ASV_108,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Asticcacaulis,s__,2c1ee711b18969eb7e426dcf96038b52,10,0.889756521002609,0.375,,553,128,120,207,98,Above prediction,Above prediction,Above prediction,Above prediction,12
ASV_109,control__MeJA_0.1__oral_secretion,3,0.014091260939405,0.00339516542589875,0,ASV_109,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Paenarthrobacter,s__,844b818a278a5edf276ec179451c96f4,5,0.566601444666635,0,,398,105,98,90,105,Above prediction,Above prediction,As predicted,Above prediction,11
ASV_1092,MeJA_0.1__oral_secretion,13,0.0204096076023127,0.036904740853389,0.353082023760747,ASV_1092,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__,80eca5cd158ff0cca79577e27fbcd764,2,1.20275727406176,0.142011834319526,,33,1,17,1,14,As predicted,Above prediction,As predicted,Above prediction,10
ASV_11,,5,0.0137013730644228,0.0136337111633747,0.00267985481844262,ASV_11,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Undibacterium,s__,ffc549ac99bf71951c036b131f05b86f,7,1.81497042594606,0.32,,2448,821,830,399,398,As predicted,As predicted,As predicted,As predicted,8
ASV_110,control,6,0.0164805298369324,0.0101854962776962,0.490767431674795,ASV_110,d__Bacteria,p__Cyanobacteria,c__Vampirivibrionia,o__Vampirovibrionales,f__Vampirovibrionaceae,g__Vampirovibrio,s__,a3c1f9f75e156257326a4419c5d5f368,2,-0.243635447822766,0.277777777777778,,284,107,42,62,73,Above prediction,As predicted,As predicted,As predicted,9
ASV_111,,1,0.0120979648014843,0,0,ASV_111,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter,s__,e9b0959ee561652137c358df14c0e763,5,-0.991552528166611,0,,287,92,75,28,92,As predicted,As predicted,Below prediction,As predicted,7
