Row.names,above_expected_in,Degree,ClosenessCentrality,BetwenessCentrality,EigenvectorCentrality,OTU,Domain,Phylum,Class,Order,Family,Genus,Species,DADA2_ID,module,Zi,Pi,keystone_taxa,freq_in_4slice,freq_in_control,freq_in_MeJA_0.1,freq_in_MeJA_1.0,freq_in_oral_secretion,control_fit_class,MeJA_0.1_fit_class,MeJA_1.0_fit_class,oral_secretion_fit_class,neutral_score
ASV_10,,9,0.0209445637476622,0.0370406901812252,0.0144457344736842,ASV_10,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__,c10f089319ce7c050aa0c8e980d33faa,1,1.26929551764398,0.716049382716049,,2817,492,609,917,799,As predicted,As predicted,As predicted,As predicted,8
ASV_100,MeJA_0.1__oral_secretion,3,0.0140367250797859,0.00853520608116994,0.000147197085160525,ASV_100,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter,s__,235c42b49271bd7268fcad55de33b53e,9,0.611046250313422,0,,575,117,151,193,114,As predicted,Above prediction,As predicted,Above prediction,10
ASV_1009,,3,0.0156437466140054,0.00310371130224362,4.84350963970078e-06,ASV_1009,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__SC-I-84,g__SC-I-84,s__,bf7ab114e7526da06efc50205a48adfb,1,0,0.444444444444444,,58,,17,16,25,,As predicted,As predicted,As predicted,
ASV_101,MeJA_0.1__MeJA_1.0,14,0.0215818163527728,0.0158802177858439,0.0747267164258,ASV_101,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter,s__,5533ff6196254dbb7b11505fc56b8e42,5,1.28296978374842,0.459183673469388,,495,21,112,223,139,Below prediction,Above prediction,Above prediction,As predicted,9
ASV_1012,,1,0.014940100075087,0,0,ASV_1012,d__Bacteria,,,,,,,b45eca976d147976b736fc9b28a524df,4,-1.13153055844952,0,,86,14,38,7,27,As predicted,As predicted,As predicted,As predicted,8
ASV_102,MeJA_0.1,4,0.0177556447610087,0.0030511060259344,0,ASV_102,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Niastella,s__,85983d886e76850a9cf01950d87b10d1,3,0.158113883008419,0,,113,46,34,25,8,As predicted,Above prediction,As predicted,As predicted,9
ASV_1029,,2,0.0203444425727951,0.0018937899471317,0.0122086874193939,ASV_1029,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__,b42703827532a15625c00b481242c5e1,12,-1.4638501094228,0.5,,64,20,7,22,15,As predicted,As predicted,As predicted,As predicted,8
ASV_104,control__MeJA_0.1,1,0.00969229552753018,0,1.48379081490958e-05,ASV_104,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Dokdonella,s__,0e9a004ba66fba6d89f9049f23909a6c,3,-1.02774023955472,0,,138,45,31,36,26,Above prediction,Above prediction,As predicted,As predicted,10
ASV_1040,,1,0.0126072984430235,0,2.19428569632226e-08,ASV_1040,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__,63be8c4dd555aee85308cb9a1e486d04,20,-0.577350269189626,0,,48,4,19,10,15,As predicted,As predicted,As predicted,As predicted,8
ASV_1046,control,6,0.0188403993425495,0.00818012046608275,0.0174788338283415,ASV_1046,d__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Peptostreptococcaceae,g__Romboutsia,s__,df3d6113f855e22f2a6d44e60f01baa7,2,-0.42723145641239,0.444444444444444,,54,17,18,7,12,Above prediction,As predicted,As predicted,As predicted,9
ASV_105,MeJA_0.1__MeJA_1.0__oral_secretion,2,0.0181043073689442,0.00282753360162024,0.000242686184930803,ASV_105,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Caulobacter,s__,52d6fae91fe613402b5eb064db422d2a,1,0,0,,180,34,44,56,46,As predicted,Above prediction,Above prediction,Above prediction,11
ASV_1050,,2,0.0146280710583674,0.00023014808385281,0.000369462418907479,ASV_1050,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Rudaea,s__,ff65d3cf6bf68066bdaf8bf8282152cc,4,-0.288901419178601,0,,66,4,45,17,,As predicted,As predicted,Below prediction,,
ASV_106,,9,0.019993046720103,0.0317538599121492,0,ASV_106,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__Parachlamydiaceae,g__Candidatus_Protochlamydia,s__,1334a5f4baeb1f92f8e523ca7ae3e4e3,3,0.948683298050514,0.493827160493827,,105,38,29,15,23,As predicted,As predicted,Below prediction,As predicted,7
ASV_1075,,2,0.0151845408015609,0.0024658723269944,0.000318439858716895,ASV_1075,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,,baa34a1facc42553ba6951d25d127e10,3,-0.632455532033676,0,,51,18,9,22,2,As predicted,As predicted,As predicted,As predicted,8
ASV_108,MeJA_0.1,2,0.00913269583364685,0.00564191588416318,0,ASV_108,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Asticcacaulis,s__,2c1ee711b18969eb7e426dcf96038b52,1,0,0,,172,56,50,29,37,As predicted,Above prediction,As predicted,As predicted,9
ASV_1083,,1,0.0140298076842219,0,0,ASV_1083,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,,,8766b41d6a47cb3ca3b4fc6c6b936c20,2,-1.03603628180005,0,,57,13,8,16,20,As predicted,As predicted,As predicted,As predicted,8
ASV_109,control__MeJA_0.1__MeJA_1.0__oral_secretion,9,0.0230844317117247,0.0607656697966806,0.0299286243124605,ASV_109,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Paenarthrobacter,s__,844b818a278a5edf276ec179451c96f4,2,0.384508310771151,0.197530864197531,,954,310,183,192,269,Above prediction,Above prediction,Above prediction,Above prediction,12
ASV_1103,,2,0.00956889969356133,0.00564191588416318,1.7290082298617e-06,ASV_1103,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,,,1d1b777477cc330313a3d3f8ce2b60f9,12,0.58554004376912,0,,64,15,6,8,35,As predicted,Below prediction,As predicted,As predicted,7
ASV_112,control__MeJA_0.1__MeJA_1.0__oral_secretion,1,0.00991622409495187,0,9.62109222915896e-07,ASV_112,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Dinghuibacter,s__,eba61c3d0df89e6b96cac73e195df829,9,-0.987074712044759,0,,326,72,76,85,93,Above prediction,Above prediction,Above prediction,Above prediction,12
ASV_1134,,1,0.0171951480702402,0,0,ASV_1134,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Turicibacter,s__,0d920a849bcecde10471a0286add008d,4,-1.13153055844952,0,,71,15,27,14,15,As predicted,As predicted,As predicted,As predicted,8
