Row.names,Degree,ClosenessCentrality,BetwenessCentrality,EigenvectorCentrality,OTU,Domain,Phylum,Class,Order,Family,Genus,Species,DADA2_ID,module,Zi,Pi,keystone_taxa,freq_in_4slice,freq_in_control,freq_in_MeJA_0.1,freq_in_MeJA_1.0,freq_in_oral_secretion
ASV_1,13,0.042793101780049,0.00308985664269018,0.990996251502654,ASV_1,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__,93120265f9c84ff7e35370a1f4336272,4,1.32024278118432,0.461538461538462,,10134,3232,2690,2232,1980
ASV_10,4,0.0416314436305576,0,0.238588428029434,ASV_10,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__,c10f089319ce7c050aa0c8e980d33faa,2,-0.254709555169034,0.375,,2301,166,533,1000,602
ASV_100,5,0.0348509784183841,0.00185592038603144,0.239897214492715,ASV_100,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter,s__,235c42b49271bd7268fcad55de33b53e,2,0.509419110338068,0,,365,71,53,168,73
ASV_102,3,0.0335372205047856,0,0.119607020907998,ASV_102,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Niastella,s__,85983d886e76850a9cf01950d87b10d1,6,0.214114746747838,0,,452,117,92,82,161
ASV_104,2,0.0314459265907358,0.00175560036516488,0.0828048548107208,ASV_104,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Rhodanobacteraceae,g__Dokdonella,s__,0e9a004ba66fba6d89f9049f23909a6c,6,-0.33306738382997,0,,263,74,86,59,44
ASV_106,2,0.0177461074449998,0.00175560036516488,0.0795235772557208,ASV_106,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__Parachlamydiaceae,g__Candidatus_Protochlamydia,s__,1334a5f4baeb1f92f8e523ca7ae3e4e3,5,-0.710284805204577,0,,369,89,59,64,157
ASV_107,6,0.0290349185276516,0.000210672043819785,0.241177744124364,ASV_107,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Niastella,s__,54cd9ca92b7b8bc2d999c049f62a56af,5,1.42056961040915,0,,528,126,105,120,177
ASV_112,3,0.0339063694561573,0.00349113672615644,0.112884717700421,ASV_112,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Dinghuibacter,s__,eba61c3d0df89e6b96cac73e195df829,6,0.214114746747838,0,,243,54,58,70,61
ASV_114,7,0.0312796638627733,0.0228428687513167,0.279059282361132,ASV_114,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Niastella,s__,8bdaa05f64e262badd46bb26d8728252,5,0.887856006505722,0.448979591836735,,445,175,73,68,129
ASV_115,1,0.0252025874074811,0,0.0298414357763009,ASV_115,d__Bacteria,p__Acidobacteriota,c__Holophagae,o__Holophagales,f__Holophagaceae,g__Holophaga,s__,d4dff47e6b8c9aace187cfadab43af27,7,-1,0,,386,46,131,124,85
